t,x_clean,y_clean,x_noisy,y_noisy
0.0,2.0,0.0,2.0457075619631646,-0.15599761593607434
0.010003334444814937,1.9999019145773995,-0.01941785220547597,2.112469593948368,0.1216668552532061
0.020006668889629875,1.9996153345826346,-0.03770329135166927,1.7069600562845593,-0.23303021738101698
0.030010003334444812,1.999151204277234,-0.05492146648879612,2.018327264752327,-0.10235785534033345
0.04001333777925975,1.9985198768585177,-0.07113459179519262,1.9959997032328745,-0.19909118093122963
0.05001667222407469,1.99773113521042,-0.0864020284783745,2.1296408314398443,0.030266761835967743
0.060020006668889625,1.9967943714646688,-0.10078109992823184,2.006698976098851,0.06830508111697309
0.07002334111370456,1.9957191675563355,-0.11432965893422278,2.0658455688941424,-0.24322352836670852
0.0800266755585195,1.99451304488113,-0.12709567637425237,2.0498256624935047,-0.27092806649860224
0.09003001000333444,1.9931829583075757,-0.1391239903857599,2.1249505035036664,-0.14661287703369782
0.10003334444814937,1.9917356131273871,-0.15045774752560234,1.964006258595598,-0.25259717918619357
0.11003667889296431,1.990177465055467,-0.1611384027700541,2.1735586658565715,-0.18431782508037442
0.12004001333777925,1.988514720229909,-0.17120571951480718,1.9242655469054428,-0.2240257520880416
0.1300433477825942,1.9867533352119957,-0.1806977695749712,2.0665997130449982,-0.12588115992035945
0.14004668222740912,1.9848990169862,-0.18965093318507317,2.0468089087255983,-0.12502778273389076
0.15005001667222406,1.9829572229601844,-0.19809989899905792,2.3042043630907534,-0.25906215145675027
0.160053351117039,1.9809331609648009,-0.20607766409028747,1.9040967516040703,-0.32814357332746913
0.17005668556185394,1.9788317892540914,-0.21361553395154176,2.0712287026404157,-0.04426969004340803
0.18006002000666887,1.9766578165052877,-0.2207431224950181,1.9595656978570564,-0.3467665940393973
0.1900633544514838,1.9744156961578245,-0.22748866050626504,1.8507435138041386,-0.12989974233255988
0.20006668889629875,1.972109136148585,-0.2338777801185679,2.083597261829101,-0.15240463987278868
0.2100700233411137,1.96974104265269,-0.23993069561117494,1.8699145865593858,-0.20510649715116697
0.22007335778592862,1.9673142012897713,-0.2456665636354978,1.9848170726608805,-0.21286327412614586
0.23007669223074356,1.9648313157189483,-0.25110388021324914,2.0955456324111768,-0.2175645478970468
0.2400800266755585,1.9622950076388306,-0.2562604807364427,2.0641320420996148,-0.24612362031310897
0.25008336112037344,1.959707816787516,-0.26115353996739304,2.0030757265910135,-0.166460306091612
0.2600866955651884,1.9570722009425914,-0.26579957203871585,1.7384988279642415,-0.31375025449231103
