t,noisy_x,noisy_y,nn_x,nn_y
0.0,2.0457075619631646,-0.1559976159360743,2.0841422,-0.13750039
0.0100033344448149,2.112469593948368,0.1216668552532061,2.0804942,-0.14120112
0.0200066688896298,1.7069600562845593,-0.2330302173810169,2.0768263,-0.1449145
0.0300100033344448,2.018327264752327,-0.1023578553403334,2.0731401,-0.1486393
0.0400133377792597,1.9959997032328745,-0.1990911809312296,2.069436,-0.15237413
0.0500166722240746,2.1296408314398443,0.0302667618359677,2.065715,-0.15611874
0.0600200066688896,2.006698976098851,0.068305081116973,2.061977,-0.15987168
0.0700233411137045,2.0658455688941424,-0.2432235283667085,2.058224,-0.16363154
0.0800266755585195,2.0498256624935047,-0.2709280664986022,2.0544567,-0.16739736
0.0900300100033344,2.1249505035036664,-0.1466128770336978,2.0506754,-0.17116772
0.1000333444481493,1.964006258595598,-0.2525971791861935,2.0468817,-0.17494236
0.1100366788929643,2.1735586658565715,-0.1843178250803744,2.0430756,-0.17871867
0.1200400133377792,1.9242655469054428,-0.2240257520880416,2.0392592,-0.18249594
0.1300433477825942,2.0665997130449982,-0.1258811599203594,2.0354326,-0.18627344
0.1400466822274091,2.0468089087255983,-0.1250277827338907,2.031597,-0.19005023
0.150050016672224,2.3042043630907534,-0.2590621514567502,2.0277529,-0.1938232
0.160053351117039,1.9040967516040703,-0.3281435733274691,2.0239017,-0.1975938
0.1700566855618539,2.071228702640416,-0.044269690043408,2.020044,-0.2013589
0.1800600200066688,1.9595656978570564,-0.3467665940393973,2.016181,-0.20511661
0.1900633544514838,1.8507435138041384,-0.1298997423325598,2.0123131,-0.20886813
0.2000666888962987,2.083597261829101,-0.1524046398727886,2.0084412,-0.21261035
0.2100700233411137,1.8699145865593856,-0.2051064971511669,2.004567,-0.21634255
0.2200733577859286,1.9848170726608805,-0.2128632741261458,2.0006897,-0.2200645
0.2300766922307435,2.0955456324111768,-0.2175645478970468,1.9968119,-0.22377382
0.2400800266755585,2.0641320420996148,-0.2461236203131089,1.9929329,-0.22747003
0.2500833611203734,2.003075726591013,-0.166460306091612,1.989055,-0.23115073
0.2600866955651884,1.7384988279642417,-0.313750254492311,1.9851775,-0.23481666
0.2700900300100033,1.883834637777213,-0.366046107689829,1.981302,-0.23846565
0.2800933644548182,1.9103937778957016,-0.050172111399287,1.9774288,-0.24209629
0.2900966988996332,1.8190234844603728,-0.1331689839868683,1.9735585,-0.2457081
0.3001000333444481,1.6936613088182717,-0.3324533438384459,1.9696913,-0.24929939
0.310103367789263,1.9676609915593333,-0.1979227258596427,1.9658297,-0.2528702
